knn_pm25_DF07_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_DF07_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4603
knn_pm25_DF07_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_DF07_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3699
knn_pm25_DF07_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,2830
knn_pm25_DF07_K10,2018-08-09T05:00:00,2018-08-11T18:15:00,1675
knn_pm25_E1F8_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_E1F8_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_E1F8_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_E1F8_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_E1F8_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_E1F8_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4603
knn_pm25_E1F8_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_E1F8_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3762
knn_pm25_E1F8_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,3343
knn_pm25_E1F8_K10,2018-07-09T03:30:00,2018-07-22T09:00:00,2583
knn_pm25_E47A_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_E47A_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_E47A_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_E47A_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_E47A_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_E47A_K06,2018-09-21T17:15:00,2018-09-22T18:15:00,4651
knn_pm25_E47A_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4076
knn_pm25_E47A_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3514
knn_pm25_E47A_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,1939
knn_pm25_E47A_K10,2018-07-09T03:30:00,2018-07-22T09:00:00,2130
knn_pm25_E486_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_E486_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_E486_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7398
knn_pm25_E486_K04,2018-08-13T03:45:00,2018-09-25T14:00:00,7685
knn_pm25_E486_K05,2018-07-31T17:30:00,2018-08-11T18:15:00,5248
knn_pm25_E486_K06,2018-08-05T13:15:00,2018-08-11T18:15:00,4389
knn_pm25_E486_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4116
knn_pm25_E486_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3762
knn_pm25_E486_K09,2018-07-09T03:30:00,2018-07-24T02:15:00,2865
knn_pm25_E486_K10,2018-08-09T05:00:00,2018-08-11T18:15:00,1675
knn_pm25_E8E4_K01,2018-03-22T12:45:00,2018-07-09T03:00:00,10426
knn_pm25_E8E4_K02,2018-04-06T05:15:00,2018-07-09T03:00:00,9016
knn_pm25_E8E4_K03,2018-08-13T03:45:00,2018-09-25T14:00:00,7397
knn_pm25_E8E4_K04,2018-08-13T03:45:00,2018-09-06T20:30:00,6529
knn_pm25_E8E4_K05,2018-08-13T03:45:00,2018-08-28T08:45:00,6066
knn_pm25_E8E4_K06,2018-08-13T03:45:00,2018-08-24T13:15:00,4822
knn_pm25_E8E4_K07,2018-07-09T03:30:00,2018-07-24T02:15:00,4013
knn_pm25_E8E4_K08,2018-07-09T03:30:00,2018-07-24T02:15:00,3667
knn_pm25_E8E4_K09,2018-08-09T05:00:00,2018-08-11T18:15:00,2895
knn_pm25_E8E4_K10,2018-08-09T05:45:00,2018-08-11T18:15:00,1672
